bvsp,volume,moving_average_1,moving_average_2,moving_average_3,moving_average_9,moving_average_12,cmp_moving_average_1_moving_average_9,cmp_moving_average_1_moving_average_12,cmp_moving_average_2_moving_average_9,cmp_moving_average_2_moving_average_12,cmp_moving_average_3_moving_average_9,cmp_moving_average_3_moving_average_12,OBV,obv_ma_1,obv_ma_2,obv_ma_3,obv_ma_9,obv_ma_12,cmp_obv_ma_1_obv_ma_9,cmp_obv_ma_1_obv_ma_12,cmp_obv_ma_2_obv_ma_9,cmp_obv_ma_2_obv_ma_12,cmp_obv_ma_3_obv_ma_9,cmp_obv_ma_3_obv_ma_12,mom_9,mom_12,selic,bvsp_returns,risk_premium
14441.44,4651414918000.0,14441.44,15166.045,16000.743333333332,15687.769999999999,15708.353333333334,0.0,0.0,0.0,0.0,1.0,1.0,1.4370010318281e+16,1.4370010318281e+16,1.437233602574e+16,1.4374595385789e+16,1.4374966424659e+16,1.4376504310160416e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002680274198661239,-0.09119891256808244,-0.09387919
14877.14,5939481585000.0,14877.14,14659.29,15069.743333333332,15510.25,15648.429166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4375949799866e+16,1.4375949799866e+16,1.43729800590735e+16,1.4373540617115334e+16,1.4374945135583222e+16,1.4375924413938e+16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027116423978401105,0.030170121539126127,0.02745848
14654.43,4350074306000.0,14654.43,14765.785,14657.669999999998,15209.663333333334,15622.353333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.437159972556e+16,1.437159972556e+16,1.4373774762713e+16,1.4372519947902334e+16,1.4373913382161334e+16,1.4375378723803334e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027987412817400427,-0.014969947180708099,-0.01776869
14579.3,3623631290000.0,14579.3,14616.865,14703.623333333331,15057.387777777776,15441.733333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.436797609427e+16,1.436797609427e+16,1.4369787909915e+16,1.4371841873232e+16,1.4372999940850002e+16,1.4374185286802248e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028292528598908586,-0.005126777363568591,-0.00795603
13757.49,3926633063000.0,13757.49,14168.395,14330.406666666664,14935.122222222222,15215.289166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4364049461207e+16,1.4364049461207e+16,1.43660127777385e+16,1.4367875093679e+16,1.4372007830352444e+16,1.4373177625107166e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,-0.056368275568785875,-0.05920664
12848.99,5019969551000.0,12848.99,13303.24,13728.593333333332,14884.632222222222,14839.395833333334,0.0,0.0,0.0,0.0,0.0,0.0,1.4359029491656e+16,1.4359029491656e+16,1.43615394764315e+16,1.4363685015711e+16,1.4370895766952444e+16,1.437135629054875e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028410244073441395,-0.06603675525113961,-0.06887778
10633.44,5000925408000.0,10633.44,11741.215,12413.306666666665,14372.557777777776,14396.367499999998,0.0,0.0,0.0,0.0,0.0,0.0,1.4354028566248e+16,1.4354028566248e+16,1.4356529028952e+16,1.4359035839703666e+16,1.4368491032908222e+16,1.4369508915563416e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,-0.17242989526803265,-0.17526825
11362.01,5955654760000.0,11362.01,10997.725,11614.813333333334,13671.654444444446,14105.045,0.0,0.0,0.0,0.0,0.0,0.0,1.4359984221008e+16,1.4359984221008e+16,1.4357006393628e+16,1.4357680759637334e+16,1.436636549014389e+16,1.4368426062673666e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,0.06851686754239461,0.06567851
12913.88,5293539460000.0,12913.88,12137.945,11636.44333333333,13340.902222222221,14072.585,0.0,0.0,0.0,0.0,0.0,0.0,1.4365277760468e+16,1.4365277760468e+16,1.4362630990738e+16,1.4359763515908e+16,1.4365322826507112e+16,1.4368112704191334e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,0.13658410791752496,0.13374575
13585.79,5184964531000.0,13585.79,13249.835,12620.559999999998,13245.83,13934.558333333334,1.0,0.0,1.0,0.0,0.0,0.0,1.4370462724999e+16,1.4370462724999e+16,1.43678702427335e+16,1.4365241568825e+16,1.4365373093920224e+16,1.4367678666887416e+16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0028383594636897415,0.05203006377634001,0.0491917
12722.73,4224507079000.0,12722.73,13154.26,13074.133333333331,13006.451111111111,13522.274166666664,0.0,0.0,1.0,0.0,1.0,0.0,1.436623821792e+16,1.436623821792e+16,1.43683504714595e+16,1.4367326234462334e+16,1.4364294029259556e+16,1.4366605676223502e+16,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0028244027780885707,-0.06352667014579216,-0.06635107
14047.42,5009737458000.0,14047.42,13385.075,13451.980000000001,12939.005555555555,13368.671666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.4371247955378e+16,1.4371247955378e+16,1.4368743086649e+16,1.4369316299432334e+16,1.4364254943683776e+16,1.4366321194738416e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0028097302520056046,0.10411994909897482,0.10131022
13253.0,5048717582000.0,13253.0,13650.21,13341.049999999997,12791.638888888889,13269.635,1.0,0.0,1.0,1.0,1.0,1.0,1.4366199237796e+16,1.4366199237796e+16,1.4368723596587e+16,1.4367895137031334e+16,1.4364057515186666e+16,1.4366003604698e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.002787090059405739,-0.05655273352686829,-0.05933982
13088.29,4995878938000.0,13088.29,13170.645,13462.90333333333,12717.283333333333,13120.564166666669,1.0,0.0,1.0,1.0,1.0,1.0,1.4361203358858e+16,1.4361203358858e+16,1.4363701298327e+16,1.4366216850677334e+16,1.4363741281592334e+16,1.4364774734614e+16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027898747666696934,-0.012428129480117622,-0.015218
12858.7,5019554641000.0,12858.7,12973.495,13066.663333333332,12718.362222222224,12970.92,1.0,0.0,1.0,1.0,1.0,1.0,1.4356183804217e+16,1.4356183804217e+16,1.43586935815375e+16,1.4361195466957e+16,1.4363425094099112e+16,1.4363490074502082e+16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0028036991605561567,-0.017541634545078066,-0.02034533
11137.78,6049241334000.0,11137.78,11998.240000000002,12361.589999999998,12774.400000000001,12684.126666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.4350134562883e+16,1.4350134562883e+16,1.435315918355e+16,1.4355840575319334e+16,1.4362992427058556e+16,1.4362003280219834e+16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0027736297867805982,-0.13383312465490294,-0.13660675
9781.76,7777014767000.0,9781.76,10459.77,11259.413333333332,12598.816666666666,12352.815833333334,0.0,0.0,0.0,0.0,0.0,0.0,1.4342357548116e+16,1.4342357548116e+16,1.43462460554995e+16,1.4349558638405334e+16,1.4361033907848334e+16,1.4360195620795584e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027708058225891087,-0.1217495766660861,-0.12452038
10382.72,5245115105000.0,10382.72,10082.24,10434.086666666664,12317.576666666668,12147.293333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.4347602663221e+16,1.4347602663221e+16,1.43449801056685e+16,1.4346698258073334e+16,1.4359070008154222e+16,1.4359243385092666e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027753208746808446,0.061436796650091496,0.05866148
8642.43,7055756409000.0,8642.43,9512.575,9602.303333333331,11768.314444444444,11981.375833333334,0.0,0.0,0.0,0.0,0.0,0.0,1.4340546906812e+16,1.4340546906812e+16,1.43440747850165e+16,1.4343502372716334e+16,1.4355746028355666e+16,1.4358119913473e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293313098991737,-0.1676140741539789,-0.17054721
10172.28,5409611210000.0,10172.28,9407.355,9732.476666666666,11484.931111111111,11882.231666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4345956518022e+16,1.4345956518022e+16,1.4343251712417e+16,1.4344702029351666e+16,1.4353492506144776e+16,1.4356950938224166e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002981342949091517,0.17701618641979167,0.17403484
10516.98,6158698099000.0,10516.98,10344.630000000001,9777.23,11092.66,11682.49,0.0,0.0,0.0,0.0,0.0,0.0,1.4352115216121e+16,1.4352115216121e+16,1.43490358670715e+16,1.4346206213651666e+16,1.4351366646227332e+16,1.4355854059528584e+16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031152018903753253,0.03388620840165624,0.03077101
11290.76,7166143656000.0,11290.76,10903.869999999999,10660.006666666666,10874.633333333333,11491.237500000001,1.0,0.0,1.0,0.0,0.0,0.0,1.4359281359777e+16,1.4359281359777e+16,1.4355698287949e+16,1.4352451031306666e+16,1.435059799311411e+16,1.4354922279093416e+16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.003135286987087771,0.07357435309375893,0.07043907
10943.23,5115638621000.0,10943.23,11116.994999999999,10916.989999999998,10636.293333333335,11342.945833333333,1.0,0.0,1.0,0.0,1.0,0.0,1.4354165721156e+16,1.4354165721156e+16,1.43567235404665e+16,1.4355187432351334e+16,1.4349816033369444e+16,1.4353916237696416e+16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0031720599050030084,-0.03078003606488855,-0.0339521
10262.88,5270005503000.0,10262.88,10603.055,10832.289999999999,10347.868888888888,11027.5675,0.0,0.0,1.0,0.0,1.0,0.0,1.4348895715653e+16,1.4348895715653e+16,1.43515307184045e+16,1.4354114265528666e+16,1.4349006245751222e+16,1.4352053551052666e+16,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0031736683136049117,-0.06217085814700052,-0.06534453
11282.62,7239505759000.0,11282.62,10772.75,10829.576666666666,10363.962222222222,10863.369166666665,1.0,1.0,1.0,0.0,1.0,0.0,1.4356135221412e+16,1.4356135221412e+16,1.43525154685325e+16,1.4353065552740334e+16,1.4349672985587776e+16,1.4351214883020666e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0031736683136049117,0.09936197246776746,0.0961883
12564.69,7085479132000.0,12564.69,11923.655,11370.063333333334,10673.176666666666,10819.735833333334,1.0,1.0,1.0,1.0,1.0,1.0,1.4363220700544e+16,1.4363220700544e+16,1.4359677960978e+16,1.4356083879203e+16,1.4351991113635332e+16,1.4351382994827832e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00317165746507537,0.11363229462660263,0.11046064
13441.01,6405253041000.0,13441.01,13002.85,12429.44,11012.986666666668,10868.261666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.4369625953585e+16,1.4369625953585e+16,1.43664233270645e+16,1.4362993958513666e+16,1.4354438145898e+16,1.4352503173941834e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0031509514891964563,0.06974465744877101,0.06659371
12967.27,5064816198000.0,12967.27,13204.14,12990.989999999998,11493.524444444445,11020.719166666668,1.0,1.0,1.0,1.0,1.0,1.0,1.4364561137387e+16,1.4364561137387e+16,1.4367093545486e+16,1.4365802597172e+16,1.4357106393739666e+16,1.4353705388483832e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0030896100902687196,-0.03524586322010026,-0.03833547
13578.72,6488888523000.0,13578.72,13272.994999999999,13329.0,11872.017777777779,11337.1325,1.0,1.0,1.0,1.0,1.0,1.0,1.437105002591e+16,1.437105002591e+16,1.43678055816485e+16,1.4368412372294e+16,1.4359894561282776e+16,1.43560964283e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0029780315604606322,0.04715333296831159,0.0441753
15174.49,7981615209000.0,15174.49,14376.605,13906.826666666666,12389.518888888888,11736.446666666665,1.0,1.0,1.0,1.0,1.0,1.0,1.4379031641119e+16,1.4379031641119e+16,1.43750408335145e+16,1.4371547601472e+16,1.4362885275171446e+16,1.4358715509791498e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002879771043612169,0.11751991351173019,0.11464014
16009.83,8457826006000.0,16009.83,15592.16,14921.01333333333,12913.86,12350.396666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.4387489467125e+16,1.4387489467125e+16,1.4383260554122e+16,1.4379190378051334e+16,1.4366019509321224e+16,1.4362627389817584e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028276384063224834,0.0550489670493044,0.05222133
17982.8,6395555772000.0,17982.8,16996.315,16389.039999999997,13696.034444444444,13001.273333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.4393885022897e+16,1.4393885022897e+16,1.4390687245011e+16,1.4386802043713666e+16,1.4370432765070222e+16,1.4366621431890498e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0027421815650703453,0.1232349125506016,0.12049273
20183.97,6865769725000.0,20183.97,19083.385000000002,18058.866666666665,14798.377777777778,13806.855833333333,1.0,1.0,1.0,1.0,1.0,1.0,1.4400750792622e+16,1.4400750792622e+16,1.43973179077595e+16,1.4394041760881334e+16,1.4376194440289e+16,1.4370674396598918e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002683327701914544,0.12240418622239035,0.11972086
22232.53,8276077334000.0,22232.53,21208.25,20133.1,16015.034444444444,14718.67,1.0,1.0,1.0,1.0,1.0,1.0,1.4409026869956e+16,1.4409026869956e+16,1.4404888831289e+16,1.4401220895158334e+16,1.4382071290127222e+16,1.4374819855780502e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00268088554666162,0.10149440372731422,0.09881352
21841.74,6288997192000.0,21841.74,22037.135000000002,21419.413333333334,17045.817777777775,15626.879166666666,1.0,1.0,1.0,1.0,1.0,1.0,1.4402737872764e+16,1.4402737872764e+16,1.440588237136e+16,1.4404171845114e+16,1.4386462087040554e+16,1.4378867535081168e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002681496570628541,-0.017577396724529182,-0.02025889
21760.52,7352306043000.0,21760.52,21801.130000000005,21944.930000000004,17970.20777777778,16585.015833333335,1.0,1.0,1.0,1.0,1.0,1.0,1.4395385566721e+16,1.4395385566721e+16,1.43990617197425e+16,1.4402383436480334e+16,1.4389324266277888e+16,1.4382741689336834e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026698313548026518,-0.003718568209309381,-0.0063884
22142.26,6509842404000.0,22142.26,21951.39,21914.84,18989.65111111111,17489.985833333336,1.0,1.0,1.0,1.0,1.0,1.0,1.4401895409125e+16,1.4401895409125e+16,1.4398640487923e+16,1.440000628287e+16,1.4393472518693222e+16,1.4386555038312918e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00265054124209769,0.0175427793085825,0.01489224
19621.85,7127507057000.0,19621.85,20882.055,21174.876666666663,19661.11,18078.0825,0.0,1.0,1.0,1.0,1.0,1.0,1.4394767902068e+16,1.4394767902068e+16,1.43983316555965e+16,1.4397349625971334e+16,1.4396107838266332e+16,1.438918397177325e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026492855427848227,-0.11382803742707381,-0.11647732
19544.72,5342803623000.0,19544.72,19583.285000000003,20436.27666666666,20146.69111111111,18586.725,0.0,1.0,0.0,1.0,1.0,1.0,1.4389425098445e+16,1.4389425098445e+16,1.43920965002565e+16,1.4395362803212666e+16,1.4397262666858112e+16,1.4390833900511584e+16,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.00265054124209769,-0.00393082201729178,-0.00658136
21152.18,5292855212000.0,21152.18,20348.450000000004,20106.25,20718.063333333335,19268.80083333333,1.0,1.0,0.0,1.0,0.0,1.0,1.4394717953657e+16,1.4394717953657e+16,1.4392071526051e+16,1.4392970318056666e+16,1.4398065832028334e+16,1.4393346968534086e+16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00265179557185071,0.08224523042540377,0.07959343
22341.86,5410392170000.0,22341.86,21747.020000000004,21012.92,21202.403333333335,19999.0625,1.0,1.0,1.0,1.0,0.0,1.0,1.4400128345827e+16,1.4400128345827e+16,1.4397423149742e+16,1.4394757132643e+16,1.439875953457611e+16,1.4395770161860498e+16,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.002657423190826966,0.05624384815182171,0.05358642
22802.51,4947869228000.0,22802.51,22572.185,22098.849999999995,21493.35222222222,20634.730833333335,1.0,1.0,1.0,1.0,1.0,1.0,1.4405076215055e+16,1.4405076215055e+16,1.4402602280441e+16,1.4399974171513e+16,1.4399240137068666e+16,1.4397940543021832e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002677825559125857,0.020618247540715062,0.01794042
23245.88,4160138243000.0,23245.88,23024.195,22796.75,21605.946666666667,21237.735,1.0,1.0,1.0,1.0,1.0,1.0,1.4409236353298e+16,1.4409236353298e+16,1.44071562841765e+16,1.440481363806e+16,1.4399263412995556e+16,1.439975278353625e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002708066183354527,0.019443912095642224,0.01673585
23049.7,5289321702000.0,23049.7,23147.79,23032.696666666667,21740.164444444446,21659.976666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.4403947031596e+16,1.4403947031596e+16,1.4406591692447e+16,1.4406086533316334e+16,1.4399397763976888e+16,1.4400591284261168e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0027357882237783637,-0.008439344950589067,-0.01117513
25129.09,6910039997000.0,25129.09,24089.395000000004,23808.22333333333,22114.449999999997,22072.070000000003,1.0,1.0,1.0,1.0,1.0,1.0,1.4410857071593e+16,1.4410857071593e+16,1.44074020515945e+16,1.4408013485495666e+16,1.4401116820073778e+16,1.4401433474175416e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002766840696800421,0.09021332164843798,0.08744648
26193.48,2338129152000.0,26193.48,25661.285000000003,24790.756666666664,22564.585555555557,22402.149166666666,1.0,1.0,1.0,1.0,1.0,1.0,1.4413195200745e+16,1.4413195200745e+16,1.4412026136169e+16,1.4409333101311334e+16,1.4402372352476e+16,1.4401780835074498e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002794316472919138,0.042356885983535486,0.03956257
24392.09,2315321856000.0,24392.09,25292.785000000003,25238.22,23094.612222222222,22614.678333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.4410879878889e+16,1.4410879878889e+16,1.4412037539817e+16,1.4411644050409e+16,1.4404162572122776e+16,1.4402459335584914e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028216995446893934,-0.0687724578788309,-0.07159416
28135.07,2783968829440.0,28135.07,26263.58,26240.213333333333,24049.095555555556,23145.890833333335,1.0,1.0,1.0,1.0,1.0,1.0,1.441366384771844e+16,1.441366384771844e+16,1.441227186330372e+16,1.4412579642450814e+16,1.4406855766486494e+16,1.4403982525668038e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028489829342532524,0.15345056532671042,0.15060158
26612.16,2550978560000.0,26612.16,27373.615,26379.773333333334,24655.76,23518.382499999996,1.0,1.0,1.0,1.0,1.0,1.0,1.441111286915844e+16,1.441111286915844e+16,1.441238835843844e+16,1.441188553192196e+16,1.440867742376443e+16,1.440475064733749e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002862127837683397,-0.0541285306914111,-0.05699066
24847.23,2244661719040.0,24847.23,25729.695,26531.486666666664,24934.134444444444,23953.830833333337,0.0,1.0,1.0,1.0,1.0,1.0,1.44088682074394e+16,1.44088682074394e+16,1.440999053829892e+16,1.4411214974772094e+16,1.4409648519499142e+16,1.4405925672785106e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002875643568269022,-0.06632043396702858,-0.06919608
25209.31,2561863669760.0,25209.31,25028.270000000004,25556.233333333334,25201.556666666667,24425.88,1.0,1.0,0.0,1.0,1.0,1.0,1.441143007110916e+16,1.441143007110916e+16,1.441014913927428e+16,1.4410470382569e+16,1.441035450350516e+16,1.440775942050712e+16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0028746094214831008,0.014572248093650764,0.01169764
25051.21,2470548728320.0,25051.21,25130.260000000002,25035.916666666668,25402.14888888889,24750.799166666664,0.0,1.0,0.0,1.0,0.0,1.0,1.440895952238084e+16,1.440895952238084e+16,1.4410194796745e+16,1.44097526003098e+16,1.4410323744514364e+16,1.4408946217900774e+16,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0028746094214831008,-0.0062714925557265655,-0.0091461
26042.36,2594287001600.0,26042.36,25546.785000000003,25434.293333333335,25734.666666666668,25059.174166666668,1.0,1.0,0.0,1.0,0.0,1.0,1.441155380938244e+16,1.441155380938244e+16,1.441025666588164e+16,1.441064780095748e+16,1.441116894204619e+16,1.4409898339863728e+16,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0028740920052399855,0.03956495514587921,0.03669086
28043.51,2426881561600.0,28043.51,27042.935,26379.02666666667,26058.49111111111,25495.924166666664,1.0,1.0,1.0,1.0,1.0,1.0,1.441398069094404e+16,1.441398069094404e+16,1.441276725016324e+16,1.4411498007569106e+16,1.4411516010862974e+16,1.4410640379521146e+16,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0028636953387636476,0.07684211415555264,0.07397842
31581.5,2552522926080.0,31581.5,29812.505,28555.789999999997,26657.16,26190.559166666662,1.0,1.0,1.0,1.0,1.0,1.0,1.441653321387012e+16,1.441653321387012e+16,1.441525695240708e+16,1.4414022571398866e+16,1.4411886901210208e+16,1.441124845123549e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028330112503928873,0.12616074093435525,0.12332773
30193.51,1763688456000.0,30193.51,30887.505,29939.506666666664,27301.76222222222,26785.876666666663,1.0,1.0,1.0,1.0,1.0,1.0,1.441476952541412e+16,1.441476952541412e+16,1.441565136964212e+16,1.441509447674276e+16,1.4412319084157446e+16,1.4412150325720336e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028102769871271426,-0.04394946408498657,-0.04675974
31920.61,2289066919040.0,31920.61,31057.06,31231.873333333333,27722.377777777776,27351.836666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.441705859233316e+16,1.441705859233316e+16,1.441591405887364e+16,1.4416120443872466e+16,1.4412696278003524e+16,1.4412667119115346e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0027837395810820544,0.05720103426199885,0.05441729
33461.54,2548214435840.0,33461.54,32691.075000000004,31858.553333333333,28483.420000000002,27957.508333333335,1.0,1.0,1.0,1.0,1.0,1.0,1.4419606806769e+16,1.4419606806769e+16,1.441833269955108e+16,1.441714497483876e+16,1.4413640048849144e+16,1.4413201419617346e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0027369532779332162,0.04827382684729398,0.04553687
38382.33,2607497461760.0,38382.33,35921.935,34588.16,29987.32,29123.361666666664,1.0,1.0,1.0,1.0,1.0,1.0,1.442221430423076e+16,1.442221430423076e+16,1.442091055549988e+16,1.441962656777764e+16,1.4415122948492626e+16,1.4414145955062494e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0027404414238075005,0.14705808519273167,0.14431764
38610.39,2789809934080.0,38610.39,38496.36,36818.08666666667,31476.328888888893,29996.304999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.442500411416484e+16,1.442500411416484e+16,1.44236092091978e+16,1.4422275075054866e+16,1.4416631175498814e+16,1.4415090977266362e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026960648599915937,0.005941796654866938,0.00324573
37951.97,2215907157760.0,37951.97,38281.18,38314.89666666667,32909.74666666667,30941.28916666667,1.0,1.0,1.0,1.0,1.0,1.0,1.442278820700708e+16,1.442278820700708e+16,1.442389616058596e+16,1.4423335541800894e+16,1.441816769601284e+16,1.441606392208708e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026442489871625918,-0.017052922801349513,-0.01969717
40364.79,3544276195840.0,40364.79,39158.380000000005,38975.71666666667,34501.12777777778,32234.419166666663,1.0,1.0,1.0,1.0,1.0,1.0,1.442633248320292e+16,1.442633248320292e+16,1.4424560345105e+16,1.4424708268124946e+16,1.4419809770881784e+16,1.4417519278400706e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00264172241008116,0.06357561939472434,0.0609339
36531.41,2544226099200.0,36531.41,38448.100000000006,38282.723333333335,35444.227777777785,33177.9275,1.0,1.0,1.0,1.0,1.0,1.0,1.442378825710372e+16,1.442378825710372e+16,1.442506037015332e+16,1.4424302982437906e+16,1.442089950045508e+16,1.4418549127233586e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002610961788595523,-0.09496841182624749,-0.09757937
36628.58,1869929876480.0,36628.58,36579.995,37841.59333333333,36005.014444444445,34142.708333333336,1.0,1.0,1.0,1.0,1.0,1.0,1.44256581869802e+16,1.44256581869802e+16,1.442472322204196e+16,1.4425259642428946e+16,1.44219133863562e+16,1.441994068261687e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025766790995398556,0.0026599028069269615,8.322e-05
37077.12,2362662122440.0,37077.12,36852.850000000006,36745.70333333333,36769.86,35062.27166666667,1.0,1.0,1.0,1.0,0.0,1.0,1.442802084910264e+16,1.442802084910264e+16,1.442683951804142e+16,1.4425822431062186e+16,1.4423385755654924e+16,1.4421312935926882e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002544094419669931,0.012245628959681287,0.00970153
36232.22,2391376813000.0,36232.22,36654.67,36645.97333333333,37248.92777777778,35744.66416666667,0.0,1.0,0.0,1.0,0.0,1.0,1.442562947228964e+16,1.442562947228964e+16,1.442682516069614e+16,1.4426436169457494e+16,1.4424338075650088e+16,1.4422283667705682e+16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025434055810949086,-0.022787638306319358,-0.02533104
